dataset,row_index,action,chosen_candidate_hash,ptt_rules,ptt_controllers,vocab_links,firewall_scored,firewall_blocked,firewall_massive,macro_started,macro_completed
20260529,162,wait,1230253ea99297e7,5,5,0,52,0,0,10,10
20260529,163,wait,ee4babfa6f0f5374,5,5,0,0,0,0,11,11
20260529,164,take_order,4d5652b5d39bc297,5,5,0,31,0,0,11,11
20260529,165,take_order,42b15b9e2b88be38,5,5,0,39,0,0,11,11
20260529,166,wait,1230253ea99297e7,5,5,0,36,0,0,11,11
20260529,167,wait,2ef5c24934fa10db,6,6,0,38,0,0,12,12
20260529,168,take_order,bbc2db73579591be,6,6,0,28,0,0,12,12
20260529,169,take_order,d44921d437de5dd0,6,6,0,45,0,0,12,12
20260529,170,wait,1230253ea99297e7,6,6,0,41,0,0,12,12
20260529,171,wait,fc95db99acc3f19b,6,6,0,0,0,0,13,13
20260529,172,wait,54063e001d641e2e,5,5,0,0,0,0,14,14
20260529,173,reposition,3343cd54aa9a4c01,5,5,0,22,0,0,15,14
20260529,174,wait,b4d1da4676e26355,5,5,0,0,0,0,15,15
20260529,175,take_order,63bd61ecc3db468e,5,5,0,34,0,0,15,15
20260529,176,wait,1230253ea99297e7,5,5,1,64,0,4,15,15
20260529,177,wait,cd3254a2a69fd50f,5,5,0,0,0,0,16,16
20260529,178,take_order,d20365eb75965599,5,5,1,46,0,6,16,16
20260529,179,take_order,dab01a4f83a40581,5,5,1,54,0,0,16,16
20260529,180,wait,1230253ea99297e7,5,5,0,64,0,0,16,16
20260529,181,wait,27ad34d1b54cc8ec,5,5,0,0,0,0,17,17
20260529,182,take_order,ecdc7f1f87324f66,5,5,0,42,0,0,17,17
20260529,183,take_order,2950f12e28246606,5,5,0,51,0,0,17,17
20260529,184,wait,1230253ea99297e7,5,5,0,55,0,0,17,17
20260529,185,wait,00af0090956831cf,5,5,0,0,0,0,18,18
20260529,186,take_order,0fad91b579e365cc,5,5,0,34,0,0,18,18
20260529,187,take_order,1fc3808ea2ec8b89,5,5,0,36,0,0,18,18
20260529,188,take_order,e2f3bd91ab9a426c,5,5,0,36,0,0,18,18
20260529,189,wait,1230253ea99297e7,5,5,0,44,0,0,18,18
20260529,190,wait,57fc15b73791d794,5,5,0,0,0,0,19,19
20260529,191,take_order,84f51901e3eb7d9d,5,5,0,28,0,0,19,19
20260529,192,take_order,8ac17d843e758a9a,5,5,0,33,0,0,19,19
20260529,193,wait,1230253ea99297e7,5,5,0,36,0,0,19,19
20260529,194,wait,0a54c97d4426110e,5,5,0,0,0,0,20,20
20260529,195,take_order,32d033e1994ae216,5,5,0,22,0,0,20,20
20260529,196,wait,1230253ea99297e7,5,5,0,40,0,0,20,20
20260529,197,wait,1230253ea99297e7,5,5,0,52,0,0,20,20
