run_id,dataset,driver_hash,step_hash,action_type,candidate_type,chosen_action_type,delta_official_net,delta_gross_minus_cost,delta_preference_penalty,delta_query_minutes,delta_time_minutes,label_mode,continuation_policy,exact_official_label,replay_valid_after_replacement,visibility_valid,legality_valid,state_compatibility_ok,confidence,notes
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,5c245132a24a,wait,top_rejected_take,wait,-14225.95,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,e5983b12693f,wait,top_rejected_take,wait,-13999.27,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,e5983b12693f,wait,top_rejected_take,wait,-14077.1,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,e5983b12693f,wait,top_rejected_take,wait,-14122.97,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,e5983b12693f,wait,top_rejected_take,wait,-14157.83,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,e5983b12693f,wait,top_rejected_take,wait,-14189.96,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,9f284a6d0cfd,wait,top_rejected_take,wait,-11907.09,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,9f284a6d0cfd,wait,top_rejected_take,wait,-12432.71,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,9f284a6d0cfd,wait,top_rejected_take,wait,-12786.66,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,9f284a6d0cfd,wait,top_rejected_take,wait,-12969.11,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,9f284a6d0cfd,wait,top_rejected_take,wait,-13183.5,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,6c09020c5583,wait,top_rejected_take,wait,-11431.63,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
